alert_id,alert_type,alert_name,severity,timestamp,reference_id,message,resolved
ALT-101,A1,ETA 지연,MEDIUM,2025-02-18 00:41,SH-1004,"선박 GUNSAN GLORY ETA 8시간 지연. 원자재: 열연강판 (Hot-Rolled Steel), 출발항: 하이퐁항 (Hai Phong)",True
ALT-102,A1,ETA 지연,HIGH,2025-02-19 15:23,SH-1008,"선박 YELLOW SEA STAR ETA 24시간 지연. 원자재: 전해동판 (Copper Cathode), 출발항: 다롄항 (Dalian)",True
ALT-103,A1,ETA 지연,MEDIUM,2025-02-21 13:44,SH-1017,"선박 DONGBANG EXPRESS ETA 6시간 지연. 원자재: PCB 기판 (Printed Circuit Board), 출발항: 상하이항 (Shanghai)",True
ALT-104,A1,ETA 지연,MEDIUM,2025-02-25 22:23,SH-1025,"선박 WEST SEA PRIDE ETA 6시간 지연. 원자재: PE 수지 (Polyethylene), 출발항: 닝보항 (Ningbo)",True
ALT-105,A1,ETA 지연,MEDIUM,2025-03-04 05:13,SH-1038,"선박 SUNRISE JEONBUK ETA 12시간 지연. 원자재: PCB 기판 (Printed Circuit Board), 출발항: 다롄항 (Dalian)",True
ALT-106,A1,ETA 지연,MEDIUM,2025-03-07 06:18,SH-1051,"선박 WEST SEA PRIDE ETA 6시간 지연. 원자재: PCB 기판 (Printed Circuit Board), 출발항: 닝보항 (Ningbo)",True
ALT-107,A1,ETA 지연,HIGH,2025-03-13 08:55,SH-1060,"선박 SUNRISE JEONBUK ETA 24시간 지연. 원자재: 전해동판 (Copper Cathode), 출발항: 상하이항 (Shanghai)",True
ALT-108,A1,ETA 지연,HIGH,2025-03-14 16:08,SH-1063,"선박 KORYO DRAGON ETA 24시간 지연. 원자재: BMS 모듈 (Battery Management), 출발항: 닝보항 (Ningbo)",False
ALT-109,A1,ETA 지연,HIGH,2025-03-22 20:16,SH-1085,"선박 GUNSAN GLORY ETA 24시간 지연. 원자재: 열연강판 (Hot-Rolled Steel), 출발항: 닝보항 (Ningbo)",True
ALT-110,A1,ETA 지연,MEDIUM,2025-03-24 11:17,SH-1090,"선박 SUNRISE JEONBUK ETA 6시간 지연. 원자재: 리튬 (Lithium Carbonate), 출발항: 칭다오항 (Qingdao)",False
ALT-111,A1,ETA 지연,MEDIUM,2025-03-25 05:48,SH-1091,"선박 DONGBANG EXPRESS ETA 12시간 지연. 원자재: 열연강판 (Hot-Rolled Steel), 출발항: 톈진항 (Tianjin)",True
ALT-112,A1,ETA 지연,MEDIUM,2025-03-25 17:29,SH-1094,"선박 DONGBANG EXPRESS ETA 12시간 지연. 원자재: 전해동판 (Copper Cathode), 출발항: 칭다오항 (Qingdao)",True
ALT-113,A1,ETA 지연,MEDIUM,2025-03-26 13:55,SH-1099,"선박 GUNSAN GLORY ETA 6시간 지연. 원자재: BMS 모듈 (Battery Management), 출발항: 다롄항 (Dalian)",True
ALT-114,A1,ETA 지연,HIGH,2025-03-31 00:54,SH-1111,"선박 YELLOW SEA STAR ETA 24시간 지연. 원자재: PE 수지 (Polyethylene), 출발항: 상하이항 (Shanghai)",True
ALT-115,A1,ETA 지연,MEDIUM,2025-03-31 18:09,SH-1114,"선박 WEST SEA PRIDE ETA 12시간 지연. 원자재: 알루미늄 잉곳 (Aluminum Ingot), 출발항: 상하이항 (Shanghai)",False
ALT-116,A1,ETA 지연,MEDIUM,2025-04-04 20:28,SH-1126,"선박 SUNRISE JEONBUK ETA 6시간 지연. 원자재: 합성고무 (Synthetic Rubber), 출발항: 상하이항 (Shanghai)",True
ALT-117,A1,ETA 지연,HIGH,2025-04-09 17:26,SH-1135,"선박 KORYO DRAGON ETA 36시간 지연. 원자재: 전해동판 (Copper Cathode), 출발항: 다롄항 (Dalian)",True
ALT-118,A1,ETA 지연,HIGH,2025-04-20 03:21,SH-1161,"선박 DONGBANG EXPRESS ETA 36시간 지연. 원자재: 리튬 (Lithium Carbonate), 출발항: 칭다오항 (Qingdao)",True
ALT-119,A1,ETA 지연,MEDIUM,2025-04-19 21:27,SH-1166,"선박 SAEMANGEUM BRIDGE ETA 8시간 지연. 원자재: 리튬 (Lithium Carbonate), 출발항: 칭다오항 (Qingdao)",False
ALT-120,A1,ETA 지연,MEDIUM,2025-04-23 19:33,SH-1174,"선박 SAEMANGEUM BRIDGE ETA 8시간 지연. 원자재: 열연강판 (Hot-Rolled Steel), 출발항: 톈진항 (Tianjin)",True
ALT-121,A1,ETA 지연,MEDIUM,2025-04-28 15:47,SH-1192,"선박 KORYO DRAGON ETA 12시간 지연. 원자재: 전해동판 (Copper Cathode), 출발항: 닝보항 (Ningbo)",False
ALT-122,A1,ETA 지연,HIGH,2025-05-02 11:26,SH-1198,"선박 KORYO DRAGON ETA 24시간 지연. 원자재: 열연강판 (Hot-Rolled Steel), 출발항: 도쿄항 (Tokyo)",False
ALT-123,A1,ETA 지연,MEDIUM,2025-05-16 13:28,SH-1234,"선박 GUNSAN GLORY ETA 6시간 지연. 원자재: PCB 기판 (Printed Circuit Board), 출발항: 하이퐁항 (Hai Phong)",True
ALT-124,A2,재고 커버리지 부족,HIGH,2025-03-28,RM-STL-01,열연강판 (Hot-Rolled Steel) 재고일수 5.0일. 현재고: 248.8톤,False
ALT-125,A2,재고 커버리지 부족,HIGH,2025-03-29,RM-STL-01,열연강판 (Hot-Rolled Steel) 재고일수 4.1일. 현재고: 206.7톤,False
ALT-126,A2,재고 커버리지 부족,HIGH,2025-03-30,RM-STL-01,열연강판 (Hot-Rolled Steel) 재고일수 3.2일. 현재고: 161.1톤,True
ALT-127,A2,재고 커버리지 부족,HIGH,2025-03-31,RM-STL-01,열연강판 (Hot-Rolled Steel) 재고일수 2.3일. 현재고: 115.0톤,True
ALT-128,A2,재고 커버리지 부족,CRITICAL,2025-04-01,RM-STL-01,열연강판 (Hot-Rolled Steel) 재고일수 1.3일. 현재고: 63.4톤,False
ALT-129,A2,재고 커버리지 부족,CRITICAL,2025-04-02,RM-STL-01,열연강판 (Hot-Rolled Steel) 재고일수 0.4일. 현재고: 21.4톤,True
ALT-130,A2,재고 커버리지 부족,CRITICAL,2025-04-03,RM-STL-01,열연강판 (Hot-Rolled Steel) 재고일수 0.0일. 현재고: 0.0톤,True
ALT-131,A2,재고 커버리지 부족,HIGH,2025-03-12,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot) 재고일수 4.4일. 현재고: 88.9톤,True
ALT-132,A2,재고 커버리지 부족,HIGH,2025-03-13,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot) 재고일수 3.6일. 현재고: 71.8톤,True
ALT-133,A2,재고 커버리지 부족,HIGH,2025-03-14,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot) 재고일수 2.6일. 현재고: 52.6톤,True
ALT-134,A2,재고 커버리지 부족,CRITICAL,2025-03-15,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot) 재고일수 1.6일. 현재고: 31.5톤,True
ALT-135,A2,재고 커버리지 부족,CRITICAL,2025-03-16,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot) 재고일수 0.4일. 현재고: 7.9톤,False
ALT-136,A2,재고 커버리지 부족,CRITICAL,2025-03-17,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot) 재고일수 0.0일. 현재고: 0.0톤,False
ALT-137,A2,재고 커버리지 부족,HIGH,2025-03-21,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot) 재고일수 4.9일. 현재고: 98.2톤,True
ALT-138,A2,재고 커버리지 부족,HIGH,2025-03-22,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot) 재고일수 4.0일. 현재고: 79.8톤,False
ALT-139,A2,재고 커버리지 부족,HIGH,2025-03-23,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot) 재고일수 2.9일. 현재고: 57.5톤,False
ALT-140,A2,재고 커버리지 부족,CRITICAL,2025-03-24,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot) 재고일수 1.7일. 현재고: 34.7톤,False
ALT-141,A2,재고 커버리지 부족,CRITICAL,2025-03-25,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot) 재고일수 0.6일. 현재고: 12.4톤,True
ALT-142,A2,재고 커버리지 부족,HIGH,2025-03-26,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot) 재고일수 3.7일. 현재고: 74.9톤,True
ALT-143,A2,재고 커버리지 부족,HIGH,2025-03-27,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot) 재고일수 2.7일. 현재고: 54.7톤,False
ALT-144,A2,재고 커버리지 부족,CRITICAL,2025-03-28,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot) 재고일수 1.8일. 현재고: 36.8톤,False
ALT-145,A2,재고 커버리지 부족,CRITICAL,2025-03-29,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot) 재고일수 1.0일. 현재고: 20.8톤,False
ALT-146,A2,재고 커버리지 부족,CRITICAL,2025-03-30,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot) 재고일수 0.0일. 현재고: 0.0톤,False
ALT-147,A2,재고 커버리지 부족,CRITICAL,2025-03-31,RM-ALM-01,알루미늄 잉곳 (Aluminum Ingot) 재고일수 0.0일. 현재고: 0.0톤,True
